ioc151_species_id,common_name,scientific_name,clements_ebird2024_name,order_name,family_clements_ebird2024,genus_name,species_epithet,avg_mass,elevation_min_m,normalized_elevation_min_m,normalized_elevation_max_m,elevation_max_m,forest_habitat_rank,bushland_or_mosaic_habitat_rank,woodland_habitat_rank,shrubland_habitat_rank,savanna_habitat_rank,grassland_habitat_rank,plains_habitat_rank,rocky_habitat_rank,desert_habitat_rank,artificial_habitat_rank,riparian_habitat_rank,coastal_habitat_rank,wetland_habitat_rank,seabird_marine_habitat_rank,other_habitat_rank,other_habitat_description,primary_habitat,behavior_colonial,behavior_social,behavior_pairs_or_family,behavior_singly_and_pairs
208,Elegant Crested Tinamou,Eudromia elegans,Eudromia elegans,Tinamiformes,Tinamidae,Eudromia,elegans,733.5,NA,0,2850,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,Shrub,0,1,0,0
219,Quebracho Crested Tinamou,Eudromia formosa,Eudromia formosa,Tinamiformes,Tinamidae,Eudromia,formosa,617,NA,L,500,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Woodland,0,1,1,0
222,Puna Tinamou,Tinamotis pentlandii,Tinamotis pentlandii,Tinamiformes,Tinamidae,Tinamotis,pentlandii,943.2,NA,3500,5000,NA,NA,NA,NA,1,NA,2,3,NA,4,NA,NA,NA,NA,NA,NA,NA,Shrub,0,1,0,0
223,Patagonian Tinamou,Tinamotis ingoufi,Tinamotis ingoufi,Tinamiformes,Tinamidae,Tinamotis,ingoufi,950,NA,0,800,1100,NA,NA,NA,3,2,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,Grassland,0,1,0,0
224,Horned Screamer,Anhima cornuta,Anhima cornuta,Anseriformes,Anhimidae,Anhima,cornuta,3450,NA,0,800,1400,2,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,1,NA,NA,NA,Wetland,0,0,1,1
225,Northern Screamer,Chauna chavaria,Chauna chavaria,Anseriformes,Anhimidae,Chauna,chavaria,2345.6666666666665,NA,0,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,Wetland,0,0,0,0
226,Southern Screamer,Chauna torquata,Chauna torquata,Anseriformes,Anhimidae,Chauna,torquata,3550,NA,0,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,Wetland,0,1,0,0
227,Magpie Goose,Anseranas semipalmata,Anseranas semipalmata,Anseriformes,Anseranatidae,Anseranas,semipalmata,2302,NA,0,500,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,4,1,NA,NA,NA,Wetland,1,0,0,0
228,White-faced Whistling-duck,Dendrocygna viduata,Dendrocygna viduata,Anseriformes,Anatidae,Dendrocygna,viduata,689.5,NA,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,Wetland,1,1,0,0
229,Black-bellied Whistling-duck,Dendrocygna autumnalis,Dendrocygna autumnalis,Anseriformes,Anatidae,Dendrocygna,autumnalis,757.9,NA,0,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,1,NA,NA,NA,Wetland,0,1,0,0
232,Spotted Whistling-duck,Dendrocygna guttata,Dendrocygna guttata,Anseriformes,Anatidae,Dendrocygna,guttata,677.5,NA,0,L,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,4,1,NA,NA,NA,Wetland,NA,NA,NA,NA
233,West Indian Whistling-duck,Dendrocygna arborea,Dendrocygna arborea,Anseriformes,Anatidae,Dendrocygna,arborea,1030,NA,0,200,NA,1,NA,NA,NA,5,NA,NA,NA,NA,4,NA,3,2,NA,NA,NA,Forest,0,1,0,0
234,Fulvous Whistling-duck,Dendrocygna bicolor,Dendrocygna bicolor,Anseriformes,Anatidae,Dendrocygna,bicolor,733.4,NA,0,1000,4080,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,Wetland,0,1,0,1
235,Plumed Whistling-duck,Dendrocygna eytoni,Dendrocygna eytoni,Anseriformes,Anatidae,Dendrocygna,eytoni,877.5,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,Grassland,0,0,0,0
236,Wandering Whistling-duck,Dendrocygna arcuata,Dendrocygna arcuata,Anseriformes,Anatidae,Dendrocygna,arcuata,779.5,NA,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,Wetland,0,0,0,1
240,Lesser Whistling-duck,Dendrocygna javanica,Dendrocygna javanica,Anseriformes,Anatidae,Dendrocygna,javanica,525,NA,0,L,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,3,2,1,NA,NA,NA,Wetland,1,0,0,0
241,White-backed Duck,Thalassornis leuconotus,Thalassornis leuconotus,Anseriformes,Anatidae,Thalassornis,leuconotus,704.66666666666663,NA,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,1,NA,NA,NA,Wetland,0,0,1,0
