"Common_name","Scientific_name","Family_description","Family","Order","Sex","all_color"
"Anambra Waxbill","Estrilda_poliopareia","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","F","medium buff, medium orange-buff, medium tan, medium-dark orange-buff, medium-dark yellow-buff, pale cream, pale orange-buff, very pale buff, very pale cream, very pale orange-buff"
"Anambra Waxbill","Estrilda_poliopareia","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","M","medium cream, medium tan, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, pale buff, pale cream, very pale buff, very pale cream, very pale orange-buff"
"Ancient Murrelet","Synthliboramphus_antiquus","Auks","Alcidae","Charadriiformes","F","black, brownish gray, dark gray, gray, pale gray"
"Andaman Crake","Rallina_canningi","Rails, crakes and allies","Rallidae","Gruiformes","M","brownish gray, dark brown, dark gray, dark rufous, gray"
"Andaman Drongo","Dicrurus_andamanensis","Drongos","Dicruridae","Passeriformes","M","brownish gray, dark gray, gray"
"Andaman Hawk-owl","Ninox_affinis","Owls","Strigidae","Strigiformes","M","brownish gray, gray, medium-dark orange-buff, medium-dark rufous"
"Andaman Serpent-eagle","Spilornis_elgini","Osprey, kites, hawks and eagles","Accipitridae","Accipitriformes","M","brownish gray, dark gray, gray"
"Andean Cock-of-the-rock","Rupicola_peruvianus","Cotingas","Cotingidae","Passeriformes","F","black, brownish gray, dark brown, dark gray, dark rufous, gray, medium-dark brown, medium-dark orange-buff, medium-dark rufous, very dark rufous, very dark yellow-buff"
"Andean Cock-of-the-rock","Rupicola_peruvianus","Cotingas","Cotingidae","Passeriformes","M","black, brownish gray, dark brown, dark rufous, gray, medium-dark brown, medium-dark orange-buff, medium-dark rufous"
"Andean Emerald","Amazilia_franciae","Hummingbirds","Trochilidae","Apodiformes","M","gray, medium yellow-buff, medium-dark green, medium-dark yellow-buff, pale cream, pale gray, very pale cream"
"Andean Siskin","Carduelis_spinescens","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","F","pale buff, very pale buff, very pale cream, very pale orange-buff"
"Andean Siskin","Carduelis_spinescens","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","M","gray, medium tan, pale buff, very pale buff, very pale cream, very pale orange-buff"
"Anhinga","Anhinga_anhinga","Anhingas","Anhingidae","Suliformes","F","black, brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff, pale cream"
"Anhinga","Anhinga_anhinga","Anhingas","Anhingidae","Suliformes","M","black, brownish gray, dark gray, gray, medium yellow-buff, medium-dark yellow-buff"
"Anjouan Sunbird","Nectarinia_comorensis","Sunbirds","Nectariniidae","Passeriformes","F","brownish gray, dark gray, gray, medium yellow-buff"
"Anjouan Sunbird","Nectarinia_comorensis","Sunbirds","Nectariniidae","Passeriformes","M","black, blue, brownish gray, dark brown, dark gray, light blue, medium-dark rufous, pale green"
"Anna's Hummingbird","Calypte_anna","Hummingbirds","Trochilidae","Apodiformes","F","black, blue, brownish gray, dark brown, dark gray, dark maroon, dark yellow-buff, gray, medium green, medium-dark brown, medium-dark green, medium-dark maroon, medium-dark red-brown, medium-dark rufous, medium-dark yellow-buff"
"Antarctic Petrel","Thalassoica_antarctica","Petrels and shearwaters","Procellariidae","Procellariiformes","M","brownish gray, gray, pale cream"
"Antarctic Prion","Pachyptila_desolata","Petrels and shearwaters","Procellariidae","Procellariiformes","M","gray, pale gray"
"Antillean Siskin","Carduelis_dominicensis","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","F","very pale cream, very pale orange-buff"
"Antillean Siskin","Carduelis_dominicensis","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","M","gray, medium yellow-buff, pale gray, very pale cream, very pale orange-buff"
"Apapane","Himatione_sanguinea","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","F","dark brown, medium-dark brown"
"Apapane","Himatione_sanguinea","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","M","dark brown, medium-dark brown"
"Apostlebird","Struthidea_cinerea","Australian mudnesters","Corcoracidae","Passeriformes","F","brownish gray, dark gray, gray"
"Aquatic Warbler","Acrocephalus_paludicola","Old World warblers","Sylviidae","Passeriformes","F","brownish gray, dark gray, dark yellow-buff, medium cream, medium yellow-buff, medium-dark yellow-buff"
"Aquatic Warbler","Acrocephalus_paludicola","Old World warblers","Sylviidae","Passeriformes","M","black, brownish gray, dark gray, gray, medium yellow-buff, medium-dark yellow-buff"
"Arabian Waxbill","Estrilda_rufibarba","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","F","dark brown, gray, medium buff, medium orange-buff, medium pinkish buff, medium red-brown, medium tan, medium-dark brown, medium-dark maroon, medium-dark red-brown, medium-dark rufous, pale buff, pale orange-buff, very pale buff, very pale cream, very pale orange-buff"
"Arabian Waxbill","Estrilda_rufibarba","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","M","dark brown, dark maroon, gray, medium orange-buff, medium red-brown, medium tan, medium-dark brown, medium-dark red-brown, pale buff, pale orange-buff, very pale buff, very pale cream, very pale orange-buff"
"Archer's Robin-chat","Cossypha_archeri","Chats and Old World flycatchers","Muscicapidae","Passeriformes","F","black, brownish gray, dark rufous, dark yellow-buff, gray, medium-dark rufous, medium-dark yellow-buff, very dark rufous, very dark yellow-buff"
"Arctic Loon","Gavia_arctica","Loons or divers","Gaviidae","Gaviiformes","F","black, brownish gray, dark gray, gray, pale gray"
"Arctic Tern","Sterna_paradisaea","Gulls and terns","Laridae","Charadriiformes","F","black, dark gray, gray, pale gray"
"Arctic Warbler","Phylloscopus_borealis","Old World warblers","Sylviidae","Passeriformes","F","brownish gray, dark yellow-buff, gray, medium cream, medium yellow-buff"
"Arctic Warbler","Phylloscopus_borealis","Old World warblers","Sylviidae","Passeriformes","M","brownish gray, gray"
"Ash-breasted Sierra-finch","Phrygilus_plebejus","Buntings, American sparrows and allies","Emberizidae","Passeriformes","M","brownish gray, dark gray, gray"
"Ash-throated Flycatcher","Myiarchus_cinerascens","Tyrant-flycatchers","Tyrannidae","Passeriformes","F","brownish gray, gray, medium cream, medium orange-buff, medium yellow-buff, medium-dark yellow-buff, pale cream"
"Ash-throated Gnateater","Conopophaga_peruviana","Gnateaters","Conopophagidae","Passeriformes","F","black, brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff, very dark rufous"
"Ash-throated Gnateater","Conopophaga_peruviana","Gnateaters","Conopophagidae","Passeriformes","M","black, brownish gray, dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff, pale gray"
"Ashy Flycatcher","Muscicapa_caerulescens","Chats and Old World flycatchers","Muscicapidae","Passeriformes","F","gray"
"Ashy Flycatcher","Muscicapa_caerulescens","Chats and Old World flycatchers","Muscicapidae","Passeriformes","M","gray"
"Ashy Starling","Cosmopsarus_unicolor","Starlings","Sturnidae","Passeriformes","M","brownish gray, gray, medium-dark yellow-buff, olive-gray"
"Ashy-crowned Sparrow-lark","Eremopterix_griseus","Larks","Alaudidae","Passeriformes","M","brownish gray, gray, medium yellow-buff, medium-dark yellow-buff"
"Asian Dollarbird","Eurystomus_orientalis","Rollers","Coraciidae","Coraciiformes","M","blue, dark gray, dark purple, gray, medium green, medium-dark green, medium-dark olive, olive-gray"
"Asian Glossy Starling","Aplonis_panayensis","Starlings","Sturnidae","Passeriformes","M","brownish gray, dark gray, gray, medium-dark green, olive-gray"
"Asian Green Broadbill","Calyptomena_viridis","Broadbills","Eurylaimidae","Passeriformes","M","dark gray, medium green, medium-dark green, medium-dark olive"
"Asian Koel","Eudynamys_scolopaceus","Cuckoos","Cuculidae","Cuculiformes","F","blue, brownish gray, dark blue, dark gray, gray, medium yellow-buff, medium-dark yellow-buff"
"Asian Paradise-flycatcher","Terpsiphone_paradisi","Monarchs","Monarchidae","Passeriformes","M","brownish gray, dark gray, gray, medium-dark orange-buff, medium-dark rufous"
