









Frequency of observations in the selected location(s).:
Number of taxa: 	428

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Redhead	0.0246057	0.0138324	0.0127737	0.0323887	0.0371429	0.0340909	0.020017	0.0538079	0.0467153	0.0452012	0.0165017	0.0118473	0.0140281	0.0013038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001487	0.0030928	0.0045714	0.00123	0.0078397	0.0094723	0.0041494	0.0043716	0.0143431	
Ring-necked Duck	0.1085174	0.1000814	0.0711679	0.0883941	0.107619	0.0875668	0.0626065	0.1523179	0.2335766	0.250774	0.2264026	0.2185169	0.1903808	0.1421121	0.0602125	0.0300691	0.010408	0.0092892	0.0017123	0.0058201	0.001	0.0011062	0.0015	0.0	0.0	0.0	0.0	9.47E-4	0.0012887	0.0	0.0	7.849E-4	0.0	0.0	0.0	8.873E-4	0.0076409	0.0053191	0.0128068	0.0498141	0.0505155	0.0582857	0.0565806	0.0966899	0.120433	0.1410788	0.0830601	0.0969593	
Greater Scaup	0.0031546	0.0056957	0.0063869	0.0195682	0.0238095	0.0280749	0.0191652	0.0463576	0.0335766	0.0421053	0.0231023	0.01448	0.010688	0.0110821	5.903E-4	0.0016254	0.0	8.078E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002974	0.0020619	0.0011429	0.0	0.0034843	0.0054127	0.0027663	0.0	0.0017212	
Lesser Scaup	0.0132492	0.0138324	0.0164234	0.01417	0.027619	0.0147059	0.0149063	0.0256623	0.0313869	0.0433437	0.029703	0.0223782	0.0227121	0.0208605	0.014758	0.0020317	0.0020816	0.0036349	0.0022831	0.005291	0.0	0.0015	0.0	0.0	0.0012346	0.0015	0.0	0.0015	0.0012887	0.0012658	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0032017	0.0156134	0.0113402	0.0114286	0.0172202	0.0095819	0.0108254	0.0055325	0.0065574	0.0183592	
Greater/Lesser Scaup	0.0018927	0.0	9.124E-4	0.0047233	0.0038095	0.0046791	0.0012777	0.0057947	0.0065693	0.003096	0.0046205	0.0052655	0.002004	0.0013038	0.0	0.0	8.326E-4	4.039E-4	5.708E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.711E-4	0.0054127	0.0	0.0043716	0.0	
Aythya sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011429	0.0	0.0	0.0	0.0	0.0	0.0	
Harlequin Duck	0.0031546	0.0	0.0	0.0	9.524E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0051635	
Surf Scoter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0032595	0.0015	0.0015	0.0	0.0016155	5.708E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001487	0.0020619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
White-winged Scoter	0.0	0.0	0.0	0.0	0.0	0.0200535	0.0127768	0.0182119	0.0065693	0.0043344	0.0	4.388E-4	0.004008	0.0	0.0	0.0	0.0020816	0.0036349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001487	0.0030928	0.0022857	0.00123	8.711E-4	0.0	0.0	0.0	0.0	
Black Scoter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0015	0.0	0.001249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
scoter sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.68E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.435E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Long-tailed Duck	0.0113565	0.0016273	0.0	0.0020243	0.0019048	0.0120321	0.011925	0.0190397	0.0153285	0.006192	0.0112211	0.0171128	0.0220441	0.0169492	0.0059032	4.063E-4	0.001249	0.0	0.0	0.0	0.0	0.0011062	0.0	0.0018467	0.0012346	0.0	0.0015385	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0010309	0.0	0.0	0.0	0.0	0.0	0.0	0.0045898	
